"Data","Od","Do","Przedmiot","Grupa","Sala"
"16.03.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 B","WI WI1- 310"
"16.03.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 A","WI WI1- 310"
"17.03.2019","09:40","11:20","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"17.03.2019","11:25","13:00","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"17.03.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_W_3","WI WI1- 013"
"18.03.2019","08:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"18.03.2019","10:15","12:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 315"
"18.03.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"20.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"20.03.2019","14:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31B","WI WI1- 316"
"21.03.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"21.03.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 308"
"21.03.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"23.03.2019","08:00","09:35","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"23.03.2019","09:40","11:20","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"23.03.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_W_3","WI WI1- 013"
"24.03.2019","15:10","16:45","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 B","WI WI1- 310"
"24.03.2019","16:50","18:25","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 A","WI WI1- 310"
"26.03.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 302"
"26.03.2019","16:15","18:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 302"
"27.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"27.03.2019","14:15","16:00","Programowanie sieciowe","lato_S2_I_W_14","WI WI2- 100"
"28.03.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"28.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"28.03.2019","14:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 308"
"30.03.2019","09:40","11:20","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 A","WI WI1- 316"
"30.03.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 A","WI WI1- 316"
"31.03.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_W_3","WI WI1- 013"
"31.03.2019","13:30","15:05","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"31.03.2019","15:10","16:45","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 B","WI WI1- 310"
"31.03.2019","16:50","18:25","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 B","WI WI1- 310"
"01.04.2019","08:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"01.04.2019","10:15","12:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 315"
"01.04.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"03.04.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
